Employer,JobTitle,Wage,City,State
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",129456,REDMOND,WA
"MICROSOFT CORPORATION","BUSINESS PLANNER-OFFICE COMM",113265,REDMOND,WA
"MICROSOFT CORPORATION","CONTENT PROJECT MANAGER",92914.08,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER LEAD",131618,REDMOND,WA
"MONSTER WORLDWIDE, INC.","VP, PRODUCT MANAGEMENT",140566,CAMBRIDGE,MA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",141428,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR BUSINESS PLANNER MANAGER",143256,REDMOND,WA
"STARPOINT SOLUTIONS","SALESFORCE.COM BUSINESS PRACTICE MANAGER",100000,CHICAGO,IL
"AMEC OIL AND GAS, INC.","GROUP HSSE DIRECTOR",325000,HOUSTON,TX
"MICROSOFT CORPORATION","BI INTEGRATION MANAGER",120109,ISSAQUAH,WA
"MICROSOFT CORPORATION","PRINCIPAL CONTENT PUB MANAGER",178717,REDMOND,WA
"BIG SPACESHIP LLC","SENIOR PRODUCER (E-COMMERCE)",75000,BROOKLYN,NY
"FIRST COMPANY MANAGEMENT INC.","BUSINESS MANAGER",60000,BRENTWOOD,TN
"MICROSOFT CORPORATION","PROGRAM MANAGER",128520,BELLEVUE,WA
"MICROSOFT CORPORATION","PRODUCT INTELLIGENCE MANAGER",123340,BELLEVUE,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",131987,REDMOND,WA
"FIRST CHOICE HEALTH","PROJECT MANAGER",100000,SEATTLE,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",117508,ISSAQUAH,WA
"MICROSOFT CORPORATION","CHANNEL MANAGER",110000,REDMOND,WA
"MICROSOFT CORPORATION","PRODUCT INTELLIGENCE MANAGER",115000,BELLEVUE,WA
"DAIMARU MATSUZAKAYA DEPARTMENT STORES CO LTD.","BUSINESS MANAGER",136500,"NEW YORK",NY
"ALLSCRIPTS HEALTHCARE, LLC","MANAGER, PROFESSIONAL SERVICES",93405,ATLANTA,GA
"MICROSOFT CORPORATION","PROGRAM MANAGER",120330,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",131600,"MOUNTAIN VIEW",CA
"NANSHAN AMERICA ADVANCED ALUMINUM TECHNOLOGIES, LL","INTERNATIONAL INVESTMENT PROJECT COORDINATOR",60000,LAFAYETTE,IN
"EXLSERVICE.COM, INC.","VICE PRESIDENT, CLIENT MANAGEMENT",128981,"JERSEY CITY",NJ
"EXLSERVICE.COM, INC.","VICE PRESIDENT, CLIENT MANAGEMENT",128981,"NEW YORK",NY
"GEISINGER SYSTEMS SERVICES","DIRECTOR, SUPPLY CHAIN TRANSFORMATION",88546,DANVILLE,PA
"MICROSOFT LICENSING, GP","OPERATIONS ACCOUNT MANAGER",113081,"FORT LAUDERDALE",FL
"SEISA LOGISTICS, LLC","PROGRAM MANAGER",78000,"EL PASO",TX
"MICROSOFT CORPORATION","PROGRAM MANAGER",120413,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",105398,REDMOND,WA
"QUALCOMM TECHNOLOGIES, INC.","STAFF PRODUCT MANAGER",118331.2,"SAN DIEGO",CA
"MICROSOFT CORPORATION","PRINCIPAL IT/OPS PROGRAM MANAGER",144472,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",120510,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",106588.6,REDMOND,WA
"WAL-MART ASSOCIATES, INC.","SR. MANAGER, GLOBAL COMPLIANCE & CONTROLS",120000,BENTONVILLE,AR
"POLARIS SOFTWARE LAB (INDIA) LTD.","ACCOUNT/BUSINESS DEVELOPMENT MANAGER",118388,ISELIN,NJ
"MICROSOFT CORPORATION","PRINCIPAL PROGRAM MANAGER",165000,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",105292,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",103163,REDMOND,WA
"MICROSOFT LICENSING, GP","OPERATIONS ACCOUNT MANAGER",113081,"FORT LAUDERDALE",FL
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",112000,REDMOND,WA
"TELETRACKING TECHNOLOGIES, INC.","CHIEF OF STAFF/ASSISTANT TO PRESIDENT",83200,PITTSBURGH,PA
"U.S. GREEN BUILDING COUNCIL, INC.","VICE PRESIDENT, INTERNATIONAL OPERATIONS",137025.12,WASHINGTON,DC
"MICROSOFT CORPORATION","SENIOR BUSINESS PLANNER",135039,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",109017,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",130673,REDMOND,WA
"MICROSOFT CORPORATION","IT PROGRAM MANAGER",87000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",105000,"MOUNTAIN VIEW",CA
"BLUECREST CAPITAL MANAGEMENT (NEW YORK) LP","EMERGING MARKETS PORTFOLIO MANAGER",250000,"NEW YORK",NY
"MICROSOFT CORPORATION","SENIOR STRATEGY MANAGER",125000,BELLEVUE,WA
"MICROSOFT CORPORATION","IT PROGRAM MANAGER",76960,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",125493,REDMOND,WA
"MICROSOFT CORPORATION","TECHNICAL PROGRAM MANAGER, FACTORY MANAGEMENT",105527,REDMOND,WA
"AMAZON CORPORATE LLC","SUPPLY CHAIN MANAGER",105000,SEATTLE,WA
"INDUSTRIAL CONTROL CONCEPT INC","EXECUTIVE PROJECT MANAGER",120000,"ST. LOUIS",MO
"SATYAM COMPUTER SERVICES LTD","PROJECT MANAGER",93870,ROCHESTER,NY
"MICROSOFT CORPORATION","IT PROGRAM MANAGER",76960,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",82500,REDMOND,WA
"MICROSOFT CORPORATION","SECURITY PROGRAM MANAGER",116422,REDMOND,WA
"MICROSOFT CORPORATION","BUSINESS PROCESS MANAGER",106000,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR HW PROGRAM MANAGER",165000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",85768,REDMOND,WA
"TURNER & TOWNSEND INC.","SENIOR CONSULTANT",260000,HOUSTON,TX
"MICROSOFT CORPORATION","BUSINESS DEVELOPMENT MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",138500,BELLEVUE,WA
"THE DOW CHEMICAL COMPANY","PRODUCT LINE MANAGER",72912,PHILADELPHIA,PA
"PNMR SERVICES COMPANY","PROJECT MANAGER, NM OPERATIONS NERC COMPLIANCE",112000,ALBUQUERQUE,NM
"FAITH HOME HEALTH, INC.","REGULATORY AFFAIRS MANAGER",60000,TAMPA,FL
"MICROSOFT CORPORATION","SENIOR PRODUCTION PROGRAM MANAGER",138500,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",125944,REDMOND,WA
"MICROSOFT CORPORATION","PARTNER TECHNOLOGY ADVISOR",131000,CAMBRIDGE,MA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",115329,REDMOND,WA
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER 4",131000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PLANNER",125000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","IT PROGRAM MANAGER",97000,REDMOND,WA
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER",115000,REDMOND,WA
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER",96000,REDMOND,WA
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER 3",106624,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",154537,BELLEVUE,WA
"MICROSOFT CORPORATION","PRODUCT MANAGER",125000,REDMOND,WA
"GILKES INC","EXECUTIVE VICE PRESIDENT",120000,KEMAH,TX
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER LEAD",148923,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM  MANAGER",99750,BELLEVUE,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PLANNER",125000,REDMOND,WA
"MICROSOFT CORPORATION","COMMUNICATIONS MANAGER",142607,ISSAQUAH,WA
"MICROSOFT CORPORATION","PRODUCT MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PRODUCT MANAGER",131000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"GLOBALFOUNDRIES U.S. INC.","SENIOR SPECIALIST PROCUREMENT",73091,MALTA,NY
"THE FRESHWATER TRUST","LAND LEASE MANAGER",60000,PORTLAND,OR
"LHP SOFTWARE, LLC","QUALITY ASSURANCE/REGULATORY AFFAIRS SPECIALIST",67000,COLUMBUS,IN
"YAVNE MANAGEMENT INC.","PROJECT ANALYST",80000,"RICHMOND HILL",NY
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR STRATEGY MANAGER",125460,REDMOND,WA
"MICROSOFT CORPORATION","IVR PROGRAM MANAGER",106000,REDMOND,WA
"MICROSOFT CORPORATION","PRODUCT MANAGER",112000,BELLEVUE,WA
"MICROSOFT CORPORATION","DISPLAY OPS MGR A&O US",82843,SEATTLE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",116512,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",119743,REDMOND,WA
"MICROSOFT CORPORATION","GPS OFFERINGS PRODUCT MANAGER",103414,REDMOND,WA
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER",137805,REDMOND,WA
"MICROSOFT CORPORATION","GLOBAL ADVOCACY PROGRAM MANAGER",112512,ISSAQUAH,WA
"TD BANK, N.A.","RISK MANAGER II",120000,"CHERRY HILL",NJ
"MICROSOFT CORPORATION","SUPPORTABILITY PROGRAM MANAGER",94362,ISSAQUAH,WA
"MICROSOFT CORPORATION","SENIOR BUSINESS INTELLIGENCE MANAGER",121365,REDMOND,WA
"MICROSOFT CORPORATION","EXPERIENCE PROGRAM MANAGER 2",116000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,BELLEVUE,WA
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER",125000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PLANNER",125000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"NAVIANCE, INC.","MANAGER, SOFTWARE ENGINEERING",110198,ARLINGTON,VA
"MICROSOFT CORPORATION","PRODUCT MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",96390.6,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",97287,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",108435,REDMOND,WA
"OUYA, INC.","VP OF OPERATIONS",165000,"SAN MATEO",CA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,CAMBRIDGE,MA
"WAL-MART ASSOCIATES, INC.","SR. MANAGER, FUNCTIONAL PROCESS TEAM (FINANCE)",110000,BENTONVILLE,AR
"MICROSOFT CORPORATION","OPERATIONS PROGRAM MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","SUPPLY CHAIN PROFESSIONAL",87000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",107000,"MOUNTAIN VIEW",CA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",119599,BELLEVUE,WA
"INDEPENDENT COMPUTER CONSULTING GROUP, INC.","SENIOR TECHNICAL CONSULTANT",90000,WARMINSTER,PA
"MICROSOFT CORPORATION","PROGRAM MANAGER",120037,BELLEVUE,WA
"MICROSOFT CORPORATION",PRODUCER,115000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PRODUCER",140000,REDMOND,WA
"MICROSOFT CORPORATION","PRODUCT MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",95000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",95000,REDMOND,WA
"RIGHTS AND RESOURCES INSTITUTE, INC.","REGIONAL DIRECTOR FOR AFRICA",90000,WASHINGTON,DC
"ZS ASSOCIATES, INC","BUSINESS TECHNOLOGY MANAGER",150000,"LOS ANGELES",CA
"MICROSOFT CORPORATION","ANIMATION DIRECTOR",160507,KIRKLAND,WA
"MICROSOFT CORPORATION","SENIOR PRODUCT PLANNER",144074,REDMOND,WA
"MOOV CORPORATION","PRINCIPAL PRODUCT MANAGER",125000,"SAN FRANCISCO",CA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",103102,REDMOND,WA
"SIKA CORPORATION","LAB MANAGER CONCRETE CHEMISTRY",117700,LYNDHURST,NJ
"MICROSOFT CORPORATION","PROGRAM MANAGER",120650,SUNNYVALE,CA
"MILLENNIUM COMMUNICATIONS, INC.","INTERACTIVE PROJECT MANAGER",75000,SYOSSET,NY
"FRACTAL ADVISORS LLC","LEGAL COMPLIANCE ADVISOR",75000,"NORTH MIAMI BEACH",FL
"MICROSOFT CORPORATION","SENIOR PRODUCER",125000,REDMOND,WA
"CIT GROUP (NJ) LLC","REGULATORY REPORTING - VP",160000,LIVINGSTON,NJ
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER LEAD",140080,REDMOND,WA
"OAKTON COMMUNITY COLLEGE","MANGER OF DEVELOPMENT AND ALUMNI RELATIONS",50045,"DES PLAINES",IL
"LANCESOFT, INC.","PROJECT MANAGER",60000,PEORIA,IL
"MICROSOFT CORPORATION","PROGRAM MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",107500,REDMOND,WA
"SPRINT NEXTEL CORPORATION","PROJECT/PROGRAM MANAGER",55000,"OVERLAND PARK",KS
"GENERAC POWER SYSTEMS INC.","SUPPLY CHAIN MANAGER",114130,WAUKESHA,WI
"NETAPP, INC.","NGS PROGRAM MANAGER",100000,SUNNYVALE,CA
"OTIS ELEVATOR COMPANY","PROCESS MANAGER",88691,FLORENCE,SC
"MICROSOFT CORPORATION","BETA MANAGER",123619,ISSAQUAH,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",105366,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",109200,BELLEVUE,WA
"MICROSOFT CORPORATION","ACCOUNT MANAGER",124040,REDMOND,WA
"DATA CONNECT CORPORATION","INTERNATIONAL BUSINESS MANAGER",100000,CENTENNIAL,CO
"PACTERA TECHNOLOGIES NA, INC","INTERNATIONAL PROJECT MANAGER",83200,REDMOND,WA
"REBECCA FITZGERALD MD INC.","ONLINE MARKETING AND NETWORK MANAGER",76500,"LOS ANGELES",CA
"MICROSOFT CORPORATION","PROGRAM MANAGER",108843,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",134244,REDMOND,WA
"CGN & ASSOCIATES, INC.","MANAGER, SUPPLY CHAIN",75070,"OAKBROOK TERRACE",IL
"MICROSOFT OPEN TECHNOLOGIES INC.","SENIOR PROGRAM MANAGER",138500,REDMOND,WA
"NEXTERA ENERGY TRANSMISSION, LLC.","PROJECT MANAGER DEVELOPMENT",110000,"JUNO BEACH",FL
"MICROSOFT CORPORATION","PROGRAM MANAGER",111797,REDMOND,WA
"MICROSOFT CORPORATION","BUSINESS DEVELOPMENT MANAGER",112000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",112597,REDMOND,WA
"TRW AUTOMOTIVE, INC.","INVENTORY CONTROL ANALYST",60000,MARSHALL,IL
"MGS CONSULTING CORPORATION","SUPPLY CHAIN CONSULTANT",55000,"CORAL GABLES",FL
"MICROSOFT CORPORATION","PROGRAM MANAGER",101222,REDMOND,WA
"INDIAN SPICEI,INC","RESTAURANT MANAGER",62000,OGDEN,UT
"APPLE INC.","GLOBAL SUPPLY CHAIN MANAGER",90000,CUPERTINO,CA
"MARKETING MANAGEMENT GROUP, INC.",DIRECTOR,70000,"NEW YORK",NY
"APPLE INC.","GLOBAL SUPPLY CHAIN MANAGER",131000,CUPERTINO,CA
"TOOLSGROUP, INC.","DIRECTOR OF PROFESSIONAL SERVICES - SUPPLY CHAIN C",135000,BOSTON,MA
"MGS CONSULTING CORPORATION","SUPPLY CHAIN CONSULTANT",55000,"CORAL GABLES",FL
"BLUEMOUNTAIN CAPITAL MANAGEMENT LLC","PORTFOLIO MANAGER",200000,"NEW YORK",NY
"CHEVRON CORPORATION","CONTRACT ADMINISTRATOR",95389.53,HOUSTON,TX
"REGUS MANAGEMENT GROUP LLC","VICE PRESIDENT SOURCING AND IT",116896,SUNRISE,FL
"APPLE INC.","GLOBAL SUPPLY MANAGER",125000,CUPERTINO,CA
"APPLE INC.","GLOBAL SUPPLY CHAIN MANAGER",90000,CUPERTINO,CA
"APPLE INC.","GLOBAL SUPPLY CHAIN MANAGER",131000,CUPERTINO,CA
"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","MANAGER, HEALTH ECONOMICS & OUTCOMES RESEARCH",118000,RIDGEFIELD,CT
"APPLE INC.","COMMODITY SPEC MANAGER",120000,CUPERTINO,CA
"TIDY ENTERPRISE, INC","COMPLIANCE MANAGER",65000,AUSTIN,TX
"MICROSOFT CORPORATION","SENIOR BUSINESS PLANNER",131000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",105287,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",100975,REDMOND,WA
"MICROSOFT CORPORATION","PREDICTIVE ANALYTICS PROGRAM MANAGER",119000,REDMOND,WA
"GOLDEN SAND RIVER CALIFORNIA CORPORATION","MANAGING DIRECTOR",144000,"PALO ALTO",CA
"VIGNESH LLC","RESTARAUNT MANAGER",51979,FISHKILL,NY
"FRESH AND EASY NEIGHBORHOOD MARKET, INC.","TECHNICAL MANAGER",76500,RIVERSIDE,CA
"MICROSOFT CORPORATION","PROGRAM MANAGER",106238,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",120650,"MOUNTAIN VIEW",CA
"MICROSOFT CORPORATION","SENIOR STRATEGY MANAGER, DEVELOPMENT TOOLS",120129,REDMOND,WA
"OMNI PARTNERS US LLC","ASIA-PACIFIC SENIOR ANALYST",130000,"NEWPORT BEACH",CA
"BLOOMBERG, LP","IMPLEMENTATION MANAGER TEAM LEADER",125000,"NEW YORK",NY
"BOEHRINGER INGELHEIM ROXANE, INC.","MANAGER, PACKAGING ENGINEERING",88435,COLUMBUS,OH
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",131153,REDMOND,WA
"ANHEUSER-BUSCH INBEV SERVICES, LLC","MANAGER, GLOBAL COST TO SERVE",122172,"NEW YORK",NY
"LAND O'LAKES, INC.","PRODUCTION SUPERVISOR",48000,SPENCER,WI
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",126500,REDMOND,WA
"STERI-PHARMA LLC","PROJECT MANAGER",50544,SYRACUSE,NY
"HAPAG-LLOYD AMERICA, INC.","VESSEL PLANNING MANAGER",83766,TAMPA,FL
"EN MASSE ENTERTAINMENT INC.","MONETIZATION MANAGER",72000,SEATTLE,WA
"ISLAND TENNIS, LP","DIRECTOR OF SPORTS TRAINING AND ACTIVITIES",68000,BETHPAGE,NY
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",143697,BELLEVUE,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER LEAD",152873,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",107500,BELLEVUE,WA
"BRC RUBBER & PLASTICS, INC.","SUPPLY CHAIN ANALYST",50669,HARTFORD,IN
"PERFORMANCE TENNIS, INC.","DIRECTOR OF PROGRAM DEVELOPMENT & HEAD TENNIS PROF",41662,ANDERSON,SC
"ISLAND TENNIS, LP","MANAGER, JUNIOR TENNIS TRAINING PROGRAM",68000,SYOSSET,NY
"MICROSOFT CORPORATION","PROGRAM MANAGER",112345,REDMOND,WA
"FRESH AND EASY NEIGHBORHOOD MARKET, INC.","SUPPLY CHAIN & COMMERCIAL MANAGER",141842.33,RIVERSIDE,CA
"ZUVEN TECHNOLOGIES, INC.","RESOURCE MANAGER",73000,PLANO,TX
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",106103,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",152469,REDMOND,WA
"SENNHEISER NEW MEXICO, LLC","SUPPLY CHAIN MANAGER",79000,ALBUQUERQUE,NM
"BAKER HUGHES INCORPORATED","SUPPLY CHAIN PROFESSIONAL",85000,HOUSTON,TX
"KERRY INC.","DIRECTOR OF REGULATORY AND SCIENTIFIC AFFAIRS",130000,BELOIT,IL
"MANHATTAN LAMINATES LTD.","SUPPLY CHAIN MANAGER",70000,BRONX,NY
"MANHATTAN LAMINATES LTD.","SUPPLY CHAIN MANAGER",70000,"NEW YORK",NY
"ISLAND TENNIS, LP","MANAGER, SPORTS OPERATIONS",68000,ROSLYN,NY
"AZIMETRY INC.","PROJECT MANAGER",71989,BELLEVUE,WA
"CLARINS USA, INC.","SUPPLY CHAIN MANAGER",90000,ORANGEBURG,NY
"W.M. BARR AND CO., INC.","SUPPLY CHAIN ANALYST",65083,MEMPHIS,TN
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",123295,REDMOND,WA
"MARGARET A CARGILL PHILANTHROPIC SERVICES LLC","PORTFOLIO MANAGER - REAL ASSETS",210000,"EDEN PRAIRIE",MN
"HALO PHARMACEUTICAL, INC.","PRODUCT DEVELOPMENT PROJECT MANAGER",102000,WHIPPANY,NJ
"W. W. GRAINGER, INC.","DIRECTOR, GLOBAL SUPPLY CHAIN ARCHITECTURE & PLANN",180000,"LAKE FOREST",IL
"DIVENSI INC.","PROJECT MANAGER",71989,BELLEVUE,WA
"WOOD GROUP MUSTANG, INC.","REGULATORY MANAGER",260000.04,HOUSTON,TX
"MICROSOFT CORPORATION","PROGRAM MANAGER",116119,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER LEAD",131741,REDMOND,WA
"DIVENSI INC.","PROJECT MANAGER",71989,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",107500,REDMOND,WA
"TAIHO PHARMA U.S.A., INC.","REGULATORY AFFAIRS SENIOR MANAGER",101000,PRINCETON,NJ
"PERFORMANCE TENNIS, INC.","DIRECTOR OF PROGRAM DEVELOPMENT & HEAD TENNIS PROF",41662,ANDERSON,SC
"BLUECREST CAPITAL MANAGEMENT (NEW YORK) LP","PORTFOLIO MANAGER",250000,"NEW YORK",NY
"ENDEAVOUR SOFTWARE TECHNOLOGIES, INC.","DELIVERY MANAGER",90000,AUSTIN,TX
"TPG BD - NEW YORK, INC.","INVESTMENT FUND MANAGER",110000,"NEW YORK",NY
"GENERICS INTERNATIONAL (US), INC.","REGULATORY AFFAIRS MANAGER",112200,CHARLOTTE,NC
"PARBEL OF FLORIDA INC.","SUPPLY CHAIN MANAGER",90000,MIAMI,FL
"WRIGHT MARITIME GROUP, LLC","DIR. OF MARITIME REGULATORY COMPLIANCE",144000,"FORT LAUDERDALE",FL
"BELSTAFF 1924 INC.","DESIGN MANAGER, MEN'S",70000,"NEW YORK",NY
"METHODE ELECTRONICS, INC.","ENGINEERING PROJECT MANAGER",57000,PALATINE,IL
"AMERICAN INTERNATIONAL EDUCATION DEVELOPMENT COUNC","PROGRAM DIRECTOR",54000,"NEW YORK",NY
"QUORUM REVIEW, INC.",ETHICIST,91000,SEATTLE,WA
"APPLE INC.","GLOBAL SUPPLY MANAGER",125000,CUPERTINO,CA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",110560,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",95000,BELLEVUE,WA
"KEEN, INC.","FOOTWEAR TECHNICAL SUPPLY CHAIN MANAGER",71011,PORTLAND,OR
"MICROSOFT CORPORATION","PROGRAM MANAGER",101439,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER",122364,REDMOND,WA
"STAPLES, INC.","DIRECTOR, ONLINE GROWTH STRATEGY & DEVELOPMENT",161500,FRAMINGHAM,MA
"CROCS, INC.","SNR VICE PRESIDENT, GLOBAL SUPPLY CHAIN",250000,NIWOT,CO
"MICROSOFT CORPORATION","SENIOR SUPPLY CHAIN PLANNER",135000,REDMOND,WA
"EXCLUSIVE COLLECTION, LLC","REAL ESTATE INVESTMENT STRATEGIST",55000,ORLANDO,FL
"MICROSOFT CORPORATION","SENIOR SECURITY PROGRAM MANAGER",124000,REDMOND,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER 2",125000,BELLEVUE,WA
"MICROSOFT CORPORATION","PROGRAM MANAGER",107000,"MOUNTAIN VIEW",CA
"DR. REDDY'S LABORATORIES, INC.","SENIOR MANAGER - PARENTERALS",120000,BRIDGEWATER,NJ
"MICROSOFT CORPORATION","PROGRAM MANAGER",108990,REDMOND,WA
"MICROSOFT CORPORATION","SENIOR PROGRAM MANAGER LEAD",137981,BELLEVUE,WA
"MARINEXPLORE, INC.","LEAD OPERATIONS AND DATA MANAGER",90000,SUNNYVALE,CA
"FOXCONN ELECTRONICS, INC.","PROJECT DESIGN MANAGER",95000,"SANTA CLARA",CA
"FOXCONN ASSEMBLY LLC","PROCESS ENGINEERING MANAGER",76253,HOUSTON,TX
"CHAIONE, INC.","PROJECT MANAGER",75000,HOUSTON,TX
"MARINER INVESTMENT GROUP LLC","INVESTMENTS ANALYST",110000,HARRISON,NY
"METHODE ELECTRONICS, INC.","ENGINEERING PROJECT MANAGER",57000,PALATINE,IL
"NISSAN NORTH AMERICA, INC.","MGR-SUPPLY CHAIN MANAGEMENT",100000,SMYRNA,TN
"ZINIO, LLC","DIRECTOR OF DEVICE PARTNERSHIPS",152000,"SAN FRANCISCO",CA
"NEWELL RUBBERMAID INC.","VICE PRESIDENT, DIRECT SOURCING",150000,ATLANTA,GA
"DIVENSI INC.","PROJECT MANAGER",71989,BELLEVUE,WA
