Employer,JobTitle,Wage,City,State
"GLOBAL INDUSTRIES, INC.","TERRITORY MANAGER",64000,SUNRISE,FL
"INITIATIVE MEDIA, LLC","VICE PRESIDENT, ANALYTICS & RESEARCH",115000,"LOS ANGELES",CA
"MILES MEDIA GROUP, LLLP","ACCOUNT DIRECTOR",90000,ATLANTA,GA
"GOOGLE INC.","BUSINESS PRODUCT MANAGER",142800,"MOUNTAIN VIEW",CA
"SITA WORLD TRAVEL, INC.","ACCOUNTS EXECUTIVE",98746.33,ENCINO,CA
"HYPER MICROSYSTEMS INC.","ADVERTISING AND PROMOTIONS MANAGER",50000,"VERNON HILLS",IL
"SITA WORLD TRAVEL, INC.","ACCOUNTS EXECUTIVE",90000,ENCINO,CA
"NOOSPHERE  VENTURES MANAGEMENT CO., LLC","DIRECTOR, MEDIA SOLUTIONS AND MARKETING",80000,"PALO ALTO",CA
"BLAST IT INC.","PROMOTIONS MANAGER",62192,ATLANTA,GA
"ARAG NORTH AMERICA INCORPORATED","REGIONAL ACCOUNT MANAGER",70100,TAMPA,FL
"THE TJX COMPANIES, INC.","PLANNING MANAGER",81600,FRAMINGHAM,MA
"POSTERSCOPE USA, INC.","EVP OF CLIENT STRATEGY",183186,"NEW YORK",NY
"ENOLA HONG KONG BUFFET INC.","MARKETING AND PROMOTIONS MANAGER",52000,ENOLA,PA
"BENEFIT COSMETICS, LLC","BRAND MANAGER, GLOBAL SERVICES",70000,"SAN FRANCISCO",CA
"BENEFIT COSMETICS, LLC","ASSOCIATE MANAGER, PRODUCT INNOVATION",70000,"SAN FRANCISCO",CA
"ZERMA AMERICAS, LLC","PROMOTIONS AND MARKETING DIRECTOR",61500,WESTON,FL
"ARAG NORTH AMERICA INCORPORATED","REGIONAL ACCOUNT MANAGER",70100,TAMPA,FL
"MARKETING DRIVE, LLC","SR. ACCOUNT EXECUTIVE",64771.68,ROGERS,AR
"OMNICOM MEDIA GROUP HOLDINGS INC.","TRADING AND ACCOUNTABILITY DIRECTOR",110000,MIAMI,FL
"RAZORFISH LLC","VP, GLOBAL ACCOUNT PLANNING",186200,"NEW YORK",NY
"MILES MEDIA GROUP, LLLP","ACCOUNT DIRECTOR",90000,ATLANTA,GA
"RED BULL NEW YORK, INC.","CLIENT SERVICES DIRECTOR",150000,HARRISON,NJ
"FRANCO'S ATHLETIC CLUB, LLC","TENNIS ACADEMY MARKETING AND PROMOTIONS DIRECTOR",38272,MANDEVILLE,LA
"KNIGHTS SHEILD, INC.","DIGITAL MEDIA COORDINATOR",44762,"SAN ANTONIO",TX
"NEWS CORP STAR US LLC","ASSOCIATE DIRECTOR, ADVERTISING SALES",94021,"LOS ANGELES",CA
"TAG WORLDWIDE (USA) INC.","GLOBAL ACCOUNT DIRECTOR",140000,"NEW YORK",NY
"EISAI INC.","PRODUCT DIRECTOR, ONCOLOGY",145860,"WOODCLIFF LAKE",NJ
"MRY US, LLC","ASSOCIATE CREATIVE DIRECTOR",120000,"NEW YORK",NY
"CLEVERBRIDGE, INC","HEAD OF CLIENT MANAGEMENT, NORTH AMERICA",86445,CHICAGO,IL
"HOMEAWAY, INC.","DIRECTOR, NORTH AMERICAN BUSINESS DEVELOPMENT",160000,AUSTIN,TX
"COLLECTIVE DIGITAL STUDIO, LLC","DIRECTOR, BRAND PARTNERSHIPS & MEDIA",130000,"BEVERLY HILLS",CA
"RODGERS GROUP SERVICES LLC","MARKETING MANAGER",81370,BALDWIN,NY
"ANM PHARMACY, INC.","MARKETING MANAGER",61318,"NEW PORT RICHEY",FL
"CARNEGIE MELLON UNIVERSITY","MANAGER, BUSINESS DEVELOPMENT AND LICENSING",90000,PITTSBURGH,PA
"READERLINK DISTRIBUTION SERVICES, LLC","VICE PRESIDENT, PRODUCT AND BUSINESS DEVELOPMENT",141669,"OAK BROOK",IL
